# RPLiDAR C1 wall scan (calibrated)
# ANGLE_OFFSET_DEG = +1.540
# columns: angle_180_deg, distance_mm, quality
-179.069,  6063.25,  10
-178.351,  6015.00,  10
-177.648,  5975.50,  12
-176.944,  5990.00,   4
-175.538,  2031.50,  20
-174.835,  1977.25,  23
-173.413,  9801.50,  13
-172.710,  9827.00,  14
-172.007,  9914.50,  14
-170.569,  2341.00,  18
-167.554,  1883.00,  18
-161.194,  2463.00,   4
-159.726, 10099.00,  11
-154.741,  5952.75,  12
-153.304,  6201.00,   8
-148.366,  6046.25,   5
-142.679,  9866.00,   6
-141.976,  9676.75,   6
-141.273,  9491.50,   5
-140.569,  9439.50,  14
-139.819,  9470.50,  13
-138.398,  8979.00,   7
-136.976,  8690.25,  11
-136.273,  8584.00,  12
-135.554,  8532.75,  11
-134.132,   758.00,  17
-133.429,   745.50,  15
-132.710,   741.00,   9
-132.007,   732.75,   7
-131.476,   718.50,  14
-130.819,   710.25,  12
-130.148,   706.00,   8
-129.491,   701.00,   7
-128.648,   696.50,   7
-127.944,   691.50,   7
-127.241,   680.50,   7
-126.538,   671.50,   7
-125.835,   666.50,   8
-125.132,   661.75,   7
-124.429,   651.25,  24
-123.726,   640.75,  27
-123.007,   633.25,  32
-122.304,   627.25,  33
-121.601,   621.75,  33
-120.898,   617.50,  32
-120.194,   613.00,  31
-119.491,   607.75,  35
-118.788,   603.00,  35
-118.085,   597.00,  37
-117.398,   592.50,  37
-116.710,   589.25,  38
-116.007,   585.25,  38
-115.319,   581.00,  38
-114.554,   575.75,  38
-113.851,   573.00,  39
-113.132,   569.75,  21
-111.741,   278.75,  45
-111.038,   273.50,  48
-110.335,   269.00,  49
-109.632,   266.25,  48
-108.929,   262.50,  48
-108.226,   257.25,  48
-107.523,   253.25,  48
-106.819,   249.50,  49
-106.116,   245.00,  50
-105.413,   240.75,  49
-104.710,   238.00,  50
-104.007,   235.75,  52
-103.304,   233.50,  51
-102.601,   230.00,  50
-101.897,   226.75,  51
-101.194,   223.75,  52
-100.476,   221.00,  51
 -99.772,   219.50,  51
 -99.069,   217.00,  51
 -98.366,   214.25,  51
 -97.663,   212.00,  51
 -96.960,   210.00,  51
 -96.257,   208.75,  52
 -95.554,   207.25,  53
 -94.788,   204.50,  52
 -94.069,   202.25,  52
 -93.351,   200.25,  52
 -92.632,   199.00,  52
 -91.960,   197.50,  50
 -91.257,   194.75,  50
 -90.554,   192.50,  51
 -89.851,   190.50,  50
 -89.132,   187.25,  50
 -88.429,   185.50,  50
 -87.726,   185.50,  52
 -87.022,   185.00,  52
 -86.304,   182.50,  53
 -85.601,   180.25,  52
 -84.897,   179.75,  53
 -84.194,   178.75,  53
 -83.476,   177.50,  53
 -82.772,   176.75,  53
 -82.069,   176.25,  53
 -81.366,   174.50,  53
 -80.647,   173.00,  53
 -79.944,   172.75,  53
 -79.241,   172.25,  54
 -78.538,   171.25,  53
 -77.819,   169.75,  53
 -77.116,   169.25,  53
 -76.413,   168.00,  53
 -75.710,   167.00,  54
 -74.991,   167.00,  53
 -74.288,   165.00,  53
 -73.585,   164.25,  53
 -72.882,   165.25,  54
 -72.163,   164.00,  53
 -71.460,   163.00,  53
 -70.757,   163.50,  52
 -70.054,   163.75,  52
 -69.335,   163.00,  51
 -68.632,   162.00,  51
 -67.929,   161.75,  52
 -67.226,   161.25,  52
 -66.507,   160.25,  49
 -65.804,   161.00,  45
 -65.101,   160.50,  39
 -64.397,   157.25,  27
 -59.444,   684.00,   8
 -57.991,   640.00,  14
 -57.288,   651.00,  12
 -56.569,   654.00,  10
 -55.866,   654.50,   9
 -55.163,   658.50,   9
 -54.460,   667.50,  15
 -53.757,   670.25,  14
 -53.054,   677.00,  11
 -52.319,   687.50,   9
 -51.616,   693.50,   8
 -50.897,   701.50,   9
 -50.194,   703.00,  18
 -49.507,   708.25,  22
 -48.804,   717.75,  22
 -47.397,   752.75,  23
 -46.663,   761.25,  21
 -45.960,   777.25,  13
 -45.241,   793.75,  12
 -44.538,   800.50,  23
 -43.835,   791.75,  26
 -43.132,   777.75,  26
 -42.429,   770.25,  28
 -41.726,   763.75,  29
 -40.976,   756.50,  29
 -40.272,   748.00,  29
 -39.554,   740.50,  31
 -38.851,   735.50,  31
 -38.147,   728.75,  32
 -37.444,   721.25,  31
 -36.741,   715.50,  33
 -36.038,   709.50,  34
 -35.304,   702.75,  35
 -34.601,   697.75,  35
 -33.882,   691.25,  36
 -33.179,   685.25,  37
 -32.476,   681.00,  37
 -31.772,   677.50,  37
 -31.069,   672.75,  37
 -30.366,   667.25,  36
 -29.647,   664.00,  33
 -28.944,   667.50,  32
 -28.241,   679.50,  26
 -27.538,   696.25,  23
 -26.804,   715.75,  23
 -26.101,   736.00,  20
 -24.679,   782.25,  18
 -23.929,   805.00,  18
 -22.491,   858.50,  16
 -21.773,   886.25,  15
 -18.241,  1860.75,  19
 -12.569,  5107.00,  24
 -11.866,  5121.00,   6
 -11.148,  5126.50,  22
 -10.444,  5104.00,  24
  -9.710,  5095.50,  13
  -8.288,  1222.50,  28
  -7.585,  1213.50,  32
  -6.882,  1200.50,  32
  -6.179,  1186.50,  33
  -5.476,  1172.75,  32
  -4.773,  1159.25,  32
  -4.054,  1146.25,  28
  -2.648,   417.75,  46
  -1.944,   415.50,  48
  -1.429,   415.50,  50
  -0.726,   415.50,  50
  -0.023,   416.25,  50
  +0.681,   417.00,  51
  +1.415,   417.00,  50
  +2.118,   416.75,  49
  +2.837,   417.25,  49
  +3.540,   417.50,  49
  +4.274,   417.25,  49
  +4.977,   416.75,  49
  +5.696,   417.75,  49
  +6.399,   418.25,  49
  +7.087,   418.50,  49
  +7.790,   420.50,  50
  +8.493,   421.25,  51
  +9.196,   421.25,  49
  +9.931,   422.50,  50
 +10.634,   424.50,  51
 +11.352,   425.50,  51
 +12.056,   426.50,  49
 +12.931,   426.75,  50
 +13.681,   427.75,  49
 +14.431,   429.50,  49
 +15.181,   430.75,  49
 +15.806,   432.00,  49
 +16.524,   433.50,  49
 +17.243,   434.75,  49
 +17.962,   435.75,  50
 +18.681,   436.75,  49
 +19.399,   439.50,  48
 +20.118,   443.75,  48
 +20.837,   446.50,  48
 +21.571,   447.50,  47
 +22.290,   449.25,  48
 +23.009,   451.75,  48
 +23.727,   453.50,  46
 +24.399,   457.00,  45
 +25.102,   460.00,  31
 +25.806,   466.50,  12
 +27.259,  1179.00,  21
 +27.962,  1153.00,  21
 +28.681,  1127.25,  21
 +29.384,  1103.25,  21
 +29.884,  1080.50,  21
 +30.540,  1056.50,  21
 +31.196,  1034.50,  20
 +31.852,  1014.50,  21
 +32.712,   995.25,  21
 +33.415,   978.00,  20
 +34.118,   961.00,  22
 +34.821,   944.50,  22
 +35.524,   928.75,  22
 +36.227,   911.50,  22
 +36.931,   896.25,  23
 +37.634,   883.25,  23
 +38.368,   869.75,  23
 +39.071,   856.50,  22
 +39.790,   843.50,  23
 +40.493,   832.00,  23
 +41.196,   820.75,  25
 +41.899,   809.50,  24
 +42.602,   797.75,  24
 +43.306,   787.00,  25
 +44.009,   776.75,  25
 +44.712,   766.50,  24
 +45.415,   757.25,  25
 +46.118,   749.25,  26
 +46.852,   741.75,  27
 +47.556,   734.75,  27
 +48.274,   727.00,  28
 +48.977,   720.25,  29
 +49.665,   713.75,  29
 +50.368,   706.00,  30
 +51.071,   699.50,  30
 +51.774,   692.75,  31
 +52.477,   686.00,  31
 +53.181,   679.25,  31
 +53.884,   672.75,  32
 +54.587,   668.50,  33
 +55.321,   662.75,  34
 +56.024,   656.50,  34
 +56.743,   652.00,  34
 +57.446,   646.50,  35
 +58.134,   641.25,  35
 +58.837,   636.00,  34
 +59.540,   630.75,  34
 +60.243,   626.75,  35
 +60.977,   622.25,  36
 +61.681,   617.25,  35
 +62.399,   614.50,  36
 +63.102,   611.75,  37
 +63.790,   608.50,  38
