# RPLiDAR C1 raw scan
# columns: angle_deg, distance_mm, quality
356.172,   586.00,  48
356.859,   586.25,  47
357.562,   587.00,  46
358.250,   587.50,  46
359.016,   588.50,  45
359.719,   589.25,  45
  0.438,   589.50,  45
  1.141,   590.25,  45
  1.828,   590.75,  46
  2.531,   591.00,  45
  3.234,   591.75,  46
  3.938,   592.75,  46
  4.641,   593.75,  46
  5.344,   594.75,  47
  6.047,   594.00,  47
  6.750,   594.50,  47
  7.469,   596.00,  47
  8.172,   596.50,  47
  8.875,   597.50,  47
  9.578,   600.00,  47
 10.484,   602.25,  47
 11.234,   603.50,  47
 11.984,   606.00,  47
 12.734,   609.00,  47
 13.312,   611.00,  47
 14.016,   612.75,  47
 14.719,   614.25,  46
 15.422,   616.50,  46
 16.141,   619.25,  45
 16.844,   621.50,  45
 17.547,   623.25,  45
 18.250,   626.00,  45
 19.000,   631.00,  44
 19.703,   634.75,  43
 20.422,   635.50,  42
 21.125,   638.50,  42
 21.844,   642.50,  40
 22.547,   645.25,  40
 23.266,   648.75,  39
 23.969,   653.50,  37
 24.688,   658.00,  37
 25.391,   663.25,  37
 26.109,   668.50,  36
 26.812,   672.00,  36
 27.531,   677.25,  35
 28.234,   681.50,  35
 28.953,   685.25,  35
 29.656,   693.00,  34
 30.109,   699.00,  33
 30.750,   702.75,  33
 31.391,   708.50,  32
 32.031,   715.00,  32
 32.922,   721.00,  31
 33.625,   728.50,  32
 34.328,   735.25,  31
 35.031,   741.25,  30
 35.719,   748.25,  29
 36.406,   755.50,  29
 37.109,   764.00,  27
 37.797,   771.75,  27
 38.547,   779.00,  27
 39.250,   787.75,  27
 39.953,   797.75,  26
 40.656,   808.50,  26
 41.344,   816.25,  25
 42.031,   825.00,  24
 42.734,   836.00,  24
 43.422,   846.00,  25
 44.156,   857.50,  24
 44.859,   869.00,  24
 45.562,   881.00,  23
 46.266,   893.50,  24
 46.953,   908.50,  27
 47.641,   922.50,  23
 48.344,   932.25,  22
 49.031,   946.75,  21
 49.781,   961.50,  21
 50.484,   975.00,  20
 51.188,   992.50,  20
 51.891,  1009.00,  20
 52.578,  1024.75,  19
 53.266,  1042.25,  19
 53.969,  1061.50,  19
 54.656,  1081.75,  18
 55.391,  1103.25,  20
 56.094,  1125.50,  20
 56.797,  1147.50,  19
 57.500,  1172.00,  20
 58.203,  1198.25,  20
 58.906,  1222.00,  21
 59.609,  1245.50,  21
 60.312,  1274.50,  21
 61.000,  1306.00,  21
 61.688,  1338.50,  22
 62.391,  1373.25,  21
 63.078,  1411.75,  23
 64.125,  1455.50,  25
 65.688,  1552.25,  39
 66.469,  1568.75,  33
 67.656,  1250.00,  24
 68.359,  1253.75,  24
 69.062,  1256.50,  24
 69.781,  1259.25,  23
 70.484,  1261.25,  24
 71.188,  1265.25,  24
 71.891,  1268.75,  25
 72.625,  1271.00,  24
 73.328,  1273.25,  24
 74.047,  1276.00,  25
 74.750,  1280.00,  24
 75.469,  1283.50,  24
 76.172,  1288.50,  25
 76.891,  1301.50,  13
 81.125,  1716.75,  22
 81.828,  1696.50,  22
 82.531,  1676.50,  23
 83.234,  1655.25,  22
 83.734,  1633.00,  22
 84.375,  1611.75,  22
 85.031,  1591.75,  22
 85.672,  1573.75,  22
 86.547,  1555.50,  22
 87.250,  1541.00,  23
 87.953,  1545.25,  23
 88.656,  1565.50,  21
 89.344,  1589.25,  22
 90.031,  1614.25,  21
 90.734,  1641.25,  23
 91.422,  1668.00,  22
 92.141,  1693.75,  14
 93.531,  2774.75,  22
 94.219,  2754.75,  12
 96.328,  2064.00,  24
 97.016,  2071.00,  25
 97.750,  2077.00,  25
 98.453,  2083.75,  25
 99.156,  2089.50,  25
 99.859,  2095.50,  26
100.703,  2103.25,  27
101.438,  2112.25,  28
102.172,  2115.00,  32
107.766,  1506.00,  23
108.469,  1474.25,  23
109.891,  1396.50,   8
112.000,  1254.25,  20
112.703,  1224.00,  20
113.406,  1193.00,  21
114.109,  1163.50,  21
114.828,  1135.50,  20
115.531,  1109.50,  19
116.234,  1082.75,  18
116.938,  1055.25,  19
117.656,  1031.75,  21
118.359,  1010.75,  24
119.062,   985.75,  21
119.766,   959.50,  22
120.281,   940.00,  23
120.938,   922.75,  23
121.594,   906.25,  23
122.250,   890.00,  25
123.062,   874.25,  31
123.750,   860.75,  26
124.453,   847.00,  26
125.141,   831.50,  26
125.891,   818.50,  27
126.594,   805.75,  26
127.297,   791.75,  27
128.000,   780.50,  28
128.672,   769.75,  28
129.359,   759.00,  31
130.062,   754.25,  31
130.750,   757.75,  29
131.453,   765.75,  28
132.141,   774.75,  28
132.844,   785.25,  27
133.531,   796.50,  25
134.281,   807.50,  27
134.984,   817.75,  29
135.688,   828.75,  26
136.391,   839.75,  25
137.281,   850.75,  24
138.031,   863.00,  23
138.781,   875.25,  22
139.531,   888.25,  22
140.109,   906.50,  11
141.516,  3921.75,  14
145.094,  3732.00,  19
146.484,  7830.50,  16
148.609,  1660.00,  24
150.016,  1596.75,  24
150.719,  1610.00,  22
151.422,  1635.00,  23
153.531,  1780.00,  22
159.891,  2269.75,  25
163.422,  1923.25,  16
166.938,  4904.25,  11
171.188,  6880.75,  23
171.891,  6872.00,  23
172.594,  6863.00,  24
173.297,  6855.25,  23
173.953,  6850.00,  24
174.641,  6845.50,  24
175.328,  6840.25,  23
176.016,  6836.50,  24
176.750,  6832.50,  23
178.141,  1774.75,  24
180.266,  2145.25,  23
180.969,  2144.75,  11
182.391,  6844.50,  22
183.094,  6851.50,  21
185.203,  2805.25,  20
186.609,  2349.50,  23
188.719,  1687.00,  26
189.422,  1710.50,   7
190.984,  3280.50,  21
191.719,  3276.25,  19
192.469,  3260.25,  21
193.203,  3266.25,  16
193.828,  3300.00,  25
194.531,  3304.50,  22
195.250,  3322.50,   9
197.375,  1924.25,  20
203.062,  2001.50,  26
204.484,  7600.50,  19
207.328,  2538.00,  27
207.984,  2557.00,  26
208.672,  2593.75,  23
211.531,  2189.75,  21
212.250,  2176.50,  22
212.953,  2186.00,  22
213.656,  2210.50,  22
214.359,  2229.75,  22
215.062,  2246.00,  20
216.484,  3463.00,  22
217.188,  3496.00,  13
218.594,  2622.00,  18
220.016,  3645.00,  16
220.719,  3685.50,  24
223.578,  2038.50,  19
224.281,  2005.50,  19
225.000,  1968.75,  19
225.703,  1956.50,  20
226.422,  1961.50,  20
227.125,  1979.00,  20
231.844,  4496.75,   7
236.047,  5911.50,   7
237.453,  7058.50,   5
241.656,  6786.00,   6
242.359,  6747.50,   4
243.062,  6751.00,   9
245.172,  6747.00,  16
248.609,  8464.00,   2
250.062,  5104.50,   6
252.172,  9978.00,   4
252.859,  9949.75,  13
254.938, 13850.50,   5
255.656, 13807.50,   5
256.344, 13771.50,   6
257.734, 13726.75,   2
258.453, 13678.00,   4
259.141, 13659.25,   5
259.844, 13630.75,   4
260.531, 13600.25,   5
261.969, 10399.00,   3
263.375, 13538.50,   5
264.141, 13516.75,   4
264.859, 13506.75,   5
265.578, 13497.50,   4
266.953, 10353.25,   3
268.359,  7481.75,  28
269.062,  7498.00,  26
269.766,  7502.00,  22
270.469,  7504.75,  22
271.172,  7493.00,  11
277.484,  1918.25,  25
278.188,  1924.50,  20
284.516,  2096.00,  25
288.734,  1682.00,  20
290.141,  1577.75,  21
291.547,  1484.75,  20
292.250,  1445.75,  21
292.953,  1408.25,  21
293.656,  1372.00,  21
294.359,  1337.00,  21
295.062,  1305.25,  20
295.766,  1274.50,  21
296.469,  1245.25,  20
297.172,  1220.25,  20
297.859,  1196.00,  21
298.547,  1178.50,  24
299.250,  1180.75,  24
299.938,  1192.50,  26
300.703,  1205.75,  37
301.406,  1206.00,  28
302.125,  1187.75,  23
302.828,  1161.75,  18
303.516,  1136.00,  18
304.219,  1117.75,  18
304.922,  1100.75,  17
305.625,  1084.00,  16
306.328,  1067.25,  16
307.031,  1050.75,  15
307.734,  1035.50,  16
308.438,  1022.50,  16
309.141,  1009.75,  17
309.844,   996.75,  17
310.547,   985.00,  18
311.250,   972.25,  18
311.969,   961.75,  19
312.672,   952.00,  19
313.375,   938.50,  19
314.078,   928.75,  19
314.766,   920.25,  20
315.453,   909.00,  22
316.156,   898.75,  22
316.844,   891.25,  23
317.594,   884.75,  23
318.297,   876.25,  23
319.000,   867.50,  25
319.703,   859.75,  25
320.406,   852.25,  26
321.109,   845.00,  27
321.812,   837.00,  27
322.516,   828.50,  29
323.234,   820.50,  29
323.938,   814.25,  30
324.641,   807.50,  31
325.344,   799.25,  30
326.047,   792.00,  30
326.750,   786.25,  30
327.453,   780.25,  31
328.156,   773.50,  31
328.844,   768.25,  31
329.531,   756.00,  31
330.922,   667.50,  38
331.656,   662.25,  40
332.359,   658.00,  40
333.062,   653.75,  39
333.766,   649.50,  39
334.531,   645.50,  39
335.250,   642.00,  40
335.969,   639.75,  40
336.688,   637.25,  41
337.344,   633.50,  41
338.047,   630.50,  42
338.750,   627.25,  41
339.453,   623.25,  43
340.172,   620.00,  42
340.875,   617.75,  43
341.578,   616.75,  43
342.281,   614.75,  44
342.984,   612.75,  44
343.688,   610.50,  45
344.391,   607.25,  45
345.094,   605.75,  45
345.812,   604.75,  46
346.516,   602.00,  47
347.219,   599.75,  48
347.922,   598.50,  48
348.625,   596.50,  48
349.328,   595.75,  48
350.031,   594.00,  49
350.734,   592.50,  49
351.469,   592.25,  48
352.172,   590.25,  49
352.891,   589.75,  49
353.594,   589.00,  49
354.266,   588.25,  48
354.953,   588.25,  49
355.656,   587.50,  48
356.344,   587.50,  48
