# RPLiDAR C1 raw scan
# columns: angle_deg, distance_mm, quality
 62.578,  1358.00,  22
 63.281,  1396.00,  23
 63.984,  1437.75,  25
 66.578,  1563.50,  39
 67.359,  1564.25,  16
 68.562,  1250.50,  24
 69.281,  1252.75,  24
 69.984,  1255.50,  24
 70.703,  1258.25,  23
 71.406,  1261.25,  24
 72.125,  1265.50,  25
 72.828,  1268.75,  24
 73.578,  1271.75,  25
 74.297,  1275.00,  25
 75.016,  1278.00,  25
 75.734,  1282.00,  24
 76.406,  1287.00,  25
 77.109,  1294.00,  21
 81.375,  1721.00,  23
 81.922,  1701.00,  22
 82.578,  1680.25,  23
 83.250,  1657.75,  22
 83.906,  1637.50,  23
 84.719,  1616.50,  22
 85.406,  1594.75,  22
 86.109,  1576.25,  22
 86.797,  1558.00,  22
 87.531,  1541.50,  22
 88.234,  1542.00,  22
 88.938,  1561.25,  22
 89.641,  1585.25,  22
 90.344,  1612.50,  22
 91.047,  1639.25,  22
 91.750,  1664.00,  22
 92.453,  1690.00,  17
 93.859,  2775.00,  22
 94.562,  2755.25,  13
 96.688,  2063.25,  24
 97.391,  2070.50,  25
 98.094,  2076.00,  25
 98.797,  2081.25,  24
 99.500,  2087.75,  25
100.203,  2095.00,  26
100.906,  2103.25,  28
101.797,  2112.25,  29
102.547,  2116.00,  32
108.859,  1475.25,  23
110.297,  1401.00,   8
112.422,  1257.25,  19
113.141,  1227.25,  20
113.844,  1196.25,  21
114.562,  1165.00,  21
115.266,  1138.50,  21
115.969,  1113.00,  20
116.672,  1085.25,  19
117.375,  1059.50,  19
118.078,  1035.50,  21
118.625,  1014.50,  24
119.281,   990.25,  22
119.953,   965.25,  22
120.609,   944.00,  22
121.453,   924.75,  23
122.156,   908.25,  24
122.859,   891.25,  24
123.562,   876.25,  30
124.250,   863.00,  26
124.938,   849.00,  26
125.641,   834.75,  26
126.328,   821.75,  27
127.062,   809.00,  27
127.766,   795.50,  28
128.469,   783.50,  27
129.172,   772.50,  27
129.875,   762.25,  30
130.578,   757.25,  30
131.281,   761.00,  29
131.984,   769.00,  27
132.688,   778.75,  27
133.391,   788.75,  26
134.094,   799.00,  25
134.797,   810.50,  28
135.500,   821.75,  28
136.203,   833.50,  26
136.906,   843.50,  24
137.609,   853.50,  24
138.547,   866.00,  23
139.297,   878.50,  22
140.062,   892.25,  21
142.781,  1792.50,  22
143.484,  1764.50,  22
144.219,  1750.50,  23
144.922,  1753.50,  24
145.641,  1771.50,  22
147.062,  1846.50,  25
147.766,  1817.00,  26
148.484,  1796.00,  25
149.188,  1785.50,  25
149.922,  1793.50,  26
150.625,  1806.50,  13
152.047,  2246.00,  17
153.469,  1781.50,  24
154.188,  1790.25,  16
156.281,  3444.00,  25
158.406,  3381.00,  13
160.516,  2280.50,  13
163.375,  1923.75,  25
171.203,  6883.75,  24
171.906,  6879.75,  23
172.531,  6871.75,  23
173.219,  6863.00,  23
173.906,  6855.75,  24
174.594,  6850.75,  24
175.375,  6845.50,  23
176.078,  6841.00,  23
176.797,  6838.25,  23
177.500,  6833.25,  19
178.891,  1779.50,  20
181.016,  2143.75,  20
182.422,  6847.75,  22
183.125,  6856.00,  22
183.859,  6784.50,  16
185.281,  2806.75,  24
186.688,  2350.25,  24
188.797,  1691.00,  26
189.500,  1703.50,  11
190.906,  3286.50,  20
191.609,  3286.75,  24
192.516,  3270.75,  20
193.266,  3266.00,  17
194.016,  3297.75,  25
194.766,  3308.75,  22
195.359,  3301.50,  13
197.484,  1924.75,  20
199.641,  5064.75,  15
203.203,  2005.50,  27
207.469,  2557.00,  27
208.188,  2580.75,  27
208.891,  2614.75,  25
211.688,  2195.00,  21
212.422,  2179.75,  21
213.125,  2187.25,  21
213.844,  2212.50,  23
214.547,  2232.75,  21
215.266,  2248.50,  20
216.688,  3465.00,  22
217.391,  3499.00,  14
218.812,  2625.50,  19
220.234,  3649.50,  16
220.953,  3690.00,  23
223.812,  2038.75,  19
224.516,  2006.50,  19
225.234,  1970.75,  19
225.938,  1959.75,  20
226.453,  1965.50,  19
227.109,  1985.25,  19
232.094,  4503.50,   6
236.312,  5913.25,   9
237.734,  7054.00,   5
241.906,  6776.75,   6
242.594,  6734.50,   4
243.359,  6753.25,   9
245.484,  6747.25,  18
252.500, 10100.50,   4
253.203, 10071.50,  13
254.609, 13874.50,   5
255.312, 13843.00,   5
256.016, 13804.00,   6
256.719, 13768.75,   5
258.844, 13675.25,   5
259.547, 13653.75,   5
260.250, 13622.75,   5
260.953, 13599.50,   5
262.359, 10398.50,   2
263.844, 13527.00,   5
264.562, 13511.25,   5
265.281, 13492.50,   4
265.953, 13482.50,   4
267.359, 10354.50,   5
268.781,  7492.50,  27
269.484,  7500.00,  25
270.188,  7502.00,  23
270.891,  7503.25,  22
271.594,  7504.25,   2
273.000,  3755.25,  16
277.953,  1921.50,  27
290.656,  1548.25,  21
291.359,  1502.75,  20
292.062,  1459.50,  21
292.766,  1419.00,  21
293.469,  1382.00,  21
294.203,  1347.00,  20
294.906,  1313.50,  20
295.625,  1283.50,  21
296.328,  1254.50,  21
297.016,  1225.50,  21
297.719,  1200.00,  20
298.422,  1179.50,  23
299.125,  1175.50,  24
299.875,  1185.75,  25
300.578,  1199.75,  33
301.297,  1206.50,  31
302.000,  1195.75,  27
302.703,  1168.50,  19
303.406,  1140.50,  18
304.109,  1122.00,  18
304.812,  1105.00,  17
305.516,  1087.50,  16
306.219,  1072.00,  15
306.922,  1056.50,  16
307.625,  1040.00,  16
308.344,  1025.00,  16
309.047,  1011.50,  16
309.750,   999.25,  17
310.453,   986.75,  18
311.172,   974.25,  19
311.875,   963.50,  19
312.578,   953.75,  19
313.281,   943.00,  19
314.000,   931.25,  19
314.703,   921.00,  21
315.406,   910.25,  22
316.109,   899.75,  23
316.859,   891.00,  24
317.562,   882.75,  24
318.281,   875.00,  24
318.984,   866.75,  25
319.688,   858.00,  26
320.391,   851.00,  27
321.094,   843.00,  27
321.797,   833.75,  28
322.500,   826.75,  28
323.203,   819.50,  30
323.906,   812.50,  31
324.609,   804.50,  30
325.359,   796.25,  31
326.062,   788.50,  30
326.781,   783.25,  30
327.484,   776.25,  31
328.172,   769.50,  32
328.875,   764.75,  31
329.578,   751.50,  31
331.000,   663.75,  39
331.703,   657.75,  40
332.406,   652.75,  39
333.109,   649.00,  40
333.828,   645.25,  38
334.531,   641.75,  40
335.234,   638.50,  40
335.938,   635.25,  40
336.703,   632.25,  42
337.422,   628.50,  41
338.141,   626.00,  41
338.859,   622.50,  43
339.547,   617.50,  42
340.250,   614.00,  43
340.969,   612.75,  43
341.672,   611.25,  45
342.375,   609.50,  44
343.078,   607.75,  45
343.781,   605.75,  45
344.484,   604.25,  47
345.219,   601.75,  47
345.922,   599.25,  47
346.641,   598.00,  47
347.344,   596.00,  48
348.062,   594.50,  48
348.766,   593.75,  48
349.484,   592.00,  48
350.188,   589.75,  49
350.906,   587.50,  50
351.609,   585.50,  50
352.328,   584.00,  49
353.031,   583.75,  49
353.719,   582.75,  49
354.422,   582.00,  49
355.125,   581.75,  49
355.828,   581.25,  49
