# RPLiDAR C1 raw scan
# columns: angle_deg, distance_mm, quality
356.719,   582.75,  48
357.422,   582.75,  47
358.125,   582.00,  46
358.828,   582.00,  46
359.578,   583.25,  46
  0.281,   584.75,  46
  1.000,   586.00,  45
  1.703,   586.25,  45
  2.406,   586.50,  46
  3.109,   587.25,  45
  3.812,   587.25,  45
  4.516,   587.75,  46
  5.234,   588.75,  47
  5.938,   589.50,  46
  6.641,   590.00,  47
  7.344,   591.00,  47
  8.109,   592.00,  48
  8.828,   594.25,  48
  9.547,   595.75,  48
 10.266,   596.50,  48
 11.078,   598.75,  48
 11.812,   601.25,  48
 12.562,   602.50,  47
 13.297,   603.75,  47
 13.938,   606.25,  46
 14.641,   608.25,  46
 15.359,   610.00,  46
 16.062,   612.75,  45
 16.812,   614.75,  46
 17.531,   617.00,  45
 18.250,   620.75,  45
 18.969,   624.50,  44
 19.656,   626.75,  43
 20.359,   628.50,  43
 21.078,   632.25,  41
 21.781,   636.25,  41
 22.531,   639.75,  39
 23.250,   643.25,  39
 23.969,   648.25,  37
 24.688,   652.75,  38
 25.375,   657.00,  37
 26.078,   660.50,  37
 26.797,   665.50,  36
 27.500,   670.00,  36
 28.016,   674.25,  35
 28.672,   678.25,  35
 29.328,   682.50,  35
 29.984,   689.50,  34
 30.828,   696.25,  32
 31.531,   702.25,  33
 32.234,   708.75,  32
 32.938,   715.00,  32
 33.641,   719.75,  31
 34.344,   725.00,  31
 35.047,   733.00,  31
 35.750,   740.50,  29
 36.484,   747.75,  28
 37.188,   755.00,  28
 37.906,   762.50,  27
 38.609,   771.50,  26
 39.297,   779.25,  26
 40.000,   787.00,  27
 40.703,   796.75,  26
 41.406,   807.50,  25
 42.109,   816.25,  25
 42.812,   825.00,  25
 43.516,   837.00,  24
 44.219,   848.75,  24
 44.953,   859.00,  24
 45.656,   870.25,  23
 46.375,   882.00,  23
 47.078,   899.25,  27
 47.766,   913.75,  25
 48.469,   922.00,  22
 49.172,   934.00,  21
 49.875,   947.75,  21
 50.578,   963.00,  20
 51.281,   980.00,  20
 51.984,   996.50,  21
 52.688,  1013.00,  19
 53.422,  1031.50,  20
 54.125,  1050.75,  19
 54.844,  1071.00,  19
 55.547,  1092.00,  20
 56.234,  1113.25,  20
 56.938,  1135.25,  20
 57.641,  1159.25,  20
 58.344,  1183.75,  20
 59.062,  1207.25,  20
 59.766,  1233.50,  21
 60.469,  1261.75,  21
 61.172,  1290.75,  22
 61.875,  1322.75,  22
