# RPLiDAR C1 raw scan
# columns: angle_deg, distance_mm, quality
224.484,  2265.00,  23
226.609,  8138.00,   3
227.141,  8057.00,   3
232.812,  5105.00,   9
233.516,  5180.75,  11
236.359,  5924.00,  11
237.781,  7040.00,   4
240.594,  4415.75,   5
242.031,  6757.50,   6
242.750,  6722.00,   4
243.453,  6755.00,   7
244.859,  5162.75,  10
247.672,  4729.25,   5
251.891, 10003.00,   7
252.625, 10016.50,   6
253.328, 10000.75,   6
254.750, 13868.75,   5
255.469, 13832.50,   5
256.172, 13795.00,   2
259.000, 13662.75,   5
259.703, 13631.75,   4
260.406, 13615.75,   5
261.141, 13593.00,   3
263.266, 13528.50,   5
264.031, 13519.50,   5
264.750, 13508.25,   5
265.469, 13498.50,   6
267.562, 10359.50,   4
268.969,  7498.75,  26
269.719,  7503.25,  23
270.422,  7504.75,  22
271.141,  7501.25,  17
273.250,  3778.00,   5
278.234,  1927.50,  27
284.625,  2114.25,  26
290.297,  1590.00,  21
291.703,  1496.25,  21
292.438,  1456.00,  21
293.141,  1418.50,  21
293.859,  1382.25,  21
294.562,  1347.00,  20
295.281,  1315.25,  20
295.984,  1283.75,  20
296.703,  1254.25,  20
297.406,  1228.50,  20
298.141,  1204.00,  21
298.844,  1185.75,  24
299.562,  1186.00,  25
300.266,  1199.00,  25
300.984,  1213.00,  37
301.688,  1212.00,  27
302.406,  1192.00,  23
303.109,  1165.25,  19
303.828,  1141.00,  19
304.531,  1123.00,  18
305.250,  1106.50,  17
305.953,  1089.25,  15
306.688,  1071.75,  15
307.391,  1054.75,  15
308.109,  1039.25,  16
308.812,  1025.50,  15
309.531,  1012.50,  16
310.234,  1001.25,  18
310.953,   988.75,  17
311.656,   977.50,  19
312.359,   966.75,  19
313.062,   955.50,  19
313.766,   944.75,  19
314.469,   933.25,  20
315.203,   923.50,  21
315.906,   913.50,  21
316.625,   902.00,  22
317.328,   895.75,  23
318.078,   889.50,  24
318.797,   879.75,  24
319.516,   871.50,  25
320.234,   864.00,  26
320.922,   856.25,  26
321.625,   848.50,  28
322.344,   839.75,  29
323.047,   831.75,  29
323.766,   824.75,  31
324.469,   818.25,  30
325.188,   812.00,  31
325.891,   804.25,  30
326.625,   796.25,  31
327.328,   790.50,  31
328.047,   786.50,  30
328.750,   781.75,  31
329.469,   774.25,  33
330.891,   680.25,  37
331.594,   671.50,  40
332.297,   667.50,  39
333.000,   663.25,  39
333.703,   659.00,  38
334.406,   655.00,  38
335.203,   651.00,  39
335.922,   647.50,  39
336.656,   644.25,  39
337.375,   641.50,  41
338.047,   639.25,  41
338.750,   635.75,  41
339.469,   631.00,  42
340.172,   627.25,  42
340.922,   625.50,  43
341.641,   623.50,  43
342.359,   621.50,  44
343.078,   621.00,  44
343.750,   619.50,  45
344.453,   617.75,  45
345.156,   615.25,  46
345.859,   612.50,  46
346.625,   610.50,  47
347.344,   608.50,  48
348.062,   607.00,  47
348.781,   605.00,  48
349.469,   603.50,  48
350.172,   601.25,  48
350.891,   599.75,  49
351.594,   599.50,  49
352.328,   599.25,  49
353.031,   598.25,  49
353.750,   596.25,  49
354.453,   596.50,  49
355.156,   596.75,  49
355.859,   595.75,  48
356.562,   595.25,  47
357.266,   594.75,  47
