# RPLiDAR C1 wall scan (calibrated)
# ANGLE_OFFSET_DEG = +1.540
# columns: angle_180_deg, distance_mm, quality
-179.476,  8885.25,  23
-178.773,  8889.75,  23
-178.069,  8879.00,   3
-165.757,  2478.75,  26
-165.116,  2475.50,  29
-157.976,  1558.25,  21
-157.273,  1512.50,  22
-156.538,  1471.25,  21
-155.835,  1431.75,  22
-155.116,  1393.50,  22
-154.413,  1359.50,  22
-153.679,  1327.25,  22
-152.976,  1295.25,  21
-152.257,  1265.50,  21
-151.554,  1238.75,  21
-150.819,  1213.25,  22
-150.116,  1189.50,  22
-149.398,  1166.75,  23
-148.694,  1144.75,  22
-147.991,  1122.75,  22
-147.288,  1102.50,  21
-146.585,  1083.00,  21
-145.882,  1064.00,  22
-145.148,  1044.50,  21
-144.444,  1025.75,  22
-143.726,  1010.50,  22
-143.023,   997.00,  23
-142.288,   981.25,  23
-141.585,   965.50,  23
-140.866,   951.50,  23
-140.163,   938.25,  24
-139.444,   929.25,  26
-138.741,   916.50,  24
-138.023,   899.00,  23
-137.319,   886.50,  24
-136.569,   874.75,  24
-135.851,   863.75,  25
-135.132,   854.00,  24
-134.413,   845.00,  26
-133.726,   836.50,  25
-133.023,   825.75,  26
-132.304,   816.50,  27
-131.601,   808.00,  26
-131.069,   799.25,  27
-130.413,   791.50,  27
-129.741,   782.50,  28
-129.085,   774.00,  29
-128.226,   767.50,  29
-127.523,   759.25,  27
-126.804,   752.25,  29
-126.101,   746.75,  29
-125.413,   739.25,  29
-124.710,   732.50,  30
-124.007,   727.50,  30
-123.304,   722.50,  30
-122.585,   716.75,  31
-121.882,   710.00,  32
-121.179,   704.00,  31
-120.476,   700.25,  33
-119.773,   696.00,  33
-119.069,   690.50,  33
-118.366,   687.75,  26
-116.929,   304.50,  49
-116.226,   303.00,  49
-115.507,   302.50,  50
-114.804,   301.75,  50
-114.101,   301.50,  52
-113.398,   301.25,  51
-112.694,   300.50,  51
-111.991,   300.00,  52
-111.288,   299.50,  52
-110.585,   298.75,  51
-109.882,   298.00,  52
-109.179,   297.50,  53
-108.460,   296.50,  52
-107.757,   296.25,  53
-107.054,   296.25,  53
-106.351,   296.75,  53
-105.632,   297.75,  52
-104.929,   298.75,  52
-104.226,   299.00,  51
-103.522,   299.25,  51
-102.804,   300.00,  52
-102.101,   301.25,  51
-101.397,   302.00,  51
-100.694,   302.50,  51
 -99.976,   303.50,  50
 -99.272,   304.50,  51
 -98.569,   305.00,  51
 -97.866,   305.75,  50
 -97.147,   307.00,  50
 -96.444,   308.00,  50
 -95.741,   308.75,  50
 -95.038,   309.50,  51
 -94.288,   309.75,  51
 -93.585,   310.50,  51
 -92.866,   312.25,  50
 -92.163,   313.25,  51
 -91.444,   314.75,  52
 -90.741,   315.25,  51
 -90.022,   316.00,  51
 -89.319,   317.25,  51
 -88.601,   318.75,  49
 -87.897,   319.50,  49
 -87.179,   320.50,  50
 -86.476,   322.50,  49
 -85.757,   323.50,  50
